"date", "low", "high", "open", "close", "volume", "range"
Mon Mar 27 2017,961.1,1045.9,973.97,1042.08,10233.89,84.80
Tue Mar 28 2017,1016.25,1069.39,1042.27,1045.4,9055.35,53.14
Wed Mar 29 2017,1005.77,1058.16,1045.54,1043.27,8676.30,52.39
Thu Mar 30 2017,1022,1052.94,1043.09,1042.34,8312.81,30.94
Fri Mar 31 2017,1038.11,1094.49,1042.32,1088.99,11274.10,56.38
Sat Apr 01 2017,1071.45,1110.95,1088.99,1092,6726.97,39.50
Sun Apr 02 2017,1080,1119,1092,1113.99,7882.35,39.00
Mon Apr 03 2017,1112.24,1168.72,1113.23,1152.6,12694.08,56.48
Tue Apr 04 2017,1124.98,1164.14,1152.09,1143.99,8959.60,39.16
Wed Apr 05 2017,1114.9,1144.99,1143.98,1132.99,8705.92,30.09
Thu Apr 06 2017,1132.98,1206.97,1132.99,1192.3,11233.49,73.99
Fri Apr 07 2017,1175.26,1203,1192.29,1194,6984.37,27.74
Sat Apr 08 2017,1170,1198,1194,1184.5,4423.11,28.00
Sun Apr 09 2017,1175.8,1221,1184.5,1210.97,5819.84,45.20
Mon Apr 10 2017,1201,1219.78,1210.99,1210,5644.96,18.78
Tue Apr 11 2017,1200,1234,1210,1223.99,5481.08,34.00
Wed Apr 12 2017,1209.61,1227.86,1224,1214.17,6494.15,18.25
Thu Apr 13 2017,1148.98,1219.49,1214.68,1177.05,9426.54,70.51
Fri Apr 14 2017,1170.14,1196.92,1177.05,1173.74,5665.89,26.78
Sat Apr 15 2017,0.06,1190.99,1173.13,1178.85,3972.00,1190.93
Sun Apr 16 2017,1171.7,1189.93,1178.84,1177.99,3084.53,18.23
Mon Apr 17 2017,1170.85,1197.6,1177.63,1189.91,6548.07,26.75
Tue Apr 18 2017,1189.76,1206.65,1190.95,1201.94,6269.91,16.89
Wed Apr 19 2017,1191.09,1215.32,1201.88,1214.21,6273.62,24.23
Thu Apr 20 2017,1212.01,1240.6,1214.22,1236.15,7747.14,28.59
